ID,Rep,Landmark,X,Y
Leaf_7a,1,1,1030.75,1593.25
Leaf_7a,1,2,1022.5,2119.167
Leaf_7a,1,3,998.5,2109.333
Leaf_7a,1,4,1028.833,2116.833
Leaf_7a,1,5,1015.833,1988.667
Leaf_7a,1,6,795.708,1975.667
Leaf_7a,1,7,1237.625,1999.5
Leaf_7a,1,8,870.667,1827.5
Leaf_7a,1,9,1193.125,1916.125
Leaf_7a,1,10,878.167,2088.833
Leaf_7a,1,11,1147.0,2099.5
Leaf_7a,1,12,956.5,2076.167
Leaf_7a,1,13,1048.5,2097.5
Leaf_7a,1,14,933.833,2047.5
Leaf_7a,1,15,1080.833,2052.5
Leaf_7b,1,1,1168.5,1365.0
Leaf_7b,1,2,1154.5,2083.5
Leaf_7b,1,3,1143.0,2051.5
Leaf_7b,1,4,1160.5,2067.5
Leaf_7b,1,5,1141.75,1849.625
Leaf_7b,1,6,899.5,1873.0
Leaf_7b,1,7,1330.5,1828.167
Leaf_7b,1,8,955.5,1732.75
Leaf_7b,1,9,1316.833,1750.5
Leaf_7b,1,10,1054.167,1978.833
Leaf_7b,1,11,1240.167,1958.167
Leaf_7b,1,12,1107.167,1964.5
Leaf_7b,1,13,1182.833,1964.833
Leaf_7b,1,14,1063.167,1814.5
Leaf_7b,1,15,1197.75,1877.5
Leaf_7c,1,1,994.25,1550.0
Leaf_7c,1,2,1055.5,2210.5
Leaf_7c,1,3,1028.5,2178.5
Leaf_7c,1,4,1073.833,2163.833
Leaf_7c,1,5,1020.5,1928.333
Leaf_7c,1,6,803.667,1940.833
Leaf_7c,1,7,1254.833,1913.167
Leaf_7c,1,8,834.75,1842.75
Leaf_7c,1,9,1194.5,1819.5
Leaf_7c,1,10,927.0,2084.5
Leaf_7c,1,11,1148.833,2060.833
Leaf_7c,1,12,944.5,1971.833
Leaf_7c,1,13,1097.0,2008.5
Leaf_7c,1,14,913.167,1840.167
Leaf_7c,1,15,1113.5,1871.5
Leaf_8a,1,1,1099.25,1889.75
Leaf_8a,1,2,1104.5,2391.75
Leaf_8a,1,3,1090.0,2381.5
Leaf_8a,1,4,1119.0,2381.75
Leaf_8a,1,5,1104.75,2284.75
Leaf_8a,1,6,884.167,2294.833
Leaf_8a,1,7,1340.5,2276.875
Leaf_8a,1,8,896.5,2197.167
Leaf_8a,1,9,1304.75,2139.5
Leaf_8a,1,10,1001.167,2348.167
Leaf_8a,1,11,1223.167,2334.5
Leaf_8a,1,12,1050.5,2321.167
Leaf_8a,1,13,1168.0,2302.5
Leaf_8a,1,14,1025.833,2276.5
Leaf_8a,1,15,1182.167,2272.167
Leaf_8b,1,1,1196.0,1653.333
Leaf_8b,1,2,1190.833,2180.333
Leaf_8b,1,3,1182.0,2171.5
Leaf_8b,1,4,1196.0,2173.5
Leaf_8b,1,5,1198.167,2109.167
Leaf_8b,1,6,1043.5,2105.75
Leaf_8b,1,7,1339.167,2113.5
Leaf_8b,1,8,1040.0,1970.25
Leaf_8b,1,9,1345.0,1940.833
Leaf_8b,1,10,1116.25,2142.75
Leaf_8b,1,11,1271.75,2151.5
Leaf_8b,1,12,1153.875,2122.0
Leaf_8b,1,13,1231.75,2125.75
Leaf_8b,1,14,1132.833,2068.0
Leaf_8b,1,15,1265.0,2052.25
Leaf_8c,1,1,1137.875,1684.0
Leaf_8c,1,2,1145.5,2205.5
Leaf_8c,1,3,1135.5,2189.25
Leaf_8c,1,4,1167.333,2161.833
Leaf_8c,1,5,1145.0,2076.5
Leaf_8c,1,6,973.5,2064.5
Leaf_8c,1,7,1307.167,2086.667
Leaf_8c,1,8,1012.0,1944.167
Leaf_8c,1,9,1281.583,1993.833
Leaf_8c,1,10,1074.833,2124.833
Leaf_8c,1,11,1224.167,2136.833
Leaf_8c,1,12,1117.5,2131.167
Leaf_8c,1,13,1180.25,2122.75
Leaf_8c,1,14,1095.125,2079.0
Leaf_8c,1,15,1200.333,2065.667
Leaf_9a,1,1,1091.167,1526.5
Leaf_9a,1,2,1100.5,1979.167
Leaf_9a,1,3,1063.25,1955.0
Leaf_9a,1,4,1109.5,1972.5
Leaf_9a,1,5,1085.833,1900.5
Leaf_9a,1,6,919.5,1902.0
Leaf_9a,1,7,1287.25,1888.75
Leaf_9a,1,8,944.833,1760.167
Leaf_9a,1,9,1229.75,1735.75
Leaf_9a,1,10,1001.5,1951.0
Leaf_9a,1,11,1202.833,1950.167
Leaf_9a,1,12,1021.5,1909.833
Leaf_9a,1,13,1132.167,1939.5
Leaf_9a,1,14,1002.0,1844.5
Leaf_9a,1,15,1159.0,1905.5
Leaf_10b,1,1,1171.5,1533.5
Leaf_10b,1,2,1182.75,2138.25
Leaf_10b,1,3,1167.667,2114.833
Leaf_10b,1,4,1204.167,2098.833
Leaf_10b,1,5,1171.0,2000.833
Leaf_10b,1,6,939.167,2008.833
Leaf_10b,1,7,1447.833,1992.833
Leaf_10b,1,8,970.667,1860.5
Leaf_10b,1,9,1389.75,1864.0
Leaf_10b,1,10,1062.5,2060.5
Leaf_10b,1,11,1321.5,2072.5
Leaf_10b,1,12,1102.0,2003.25
Leaf_10b,1,13,1238.5,2027.5
Leaf_10b,1,14,1073.833,1923.5
Leaf_10b,1,15,1270.833,1960.5
Leaf_10c,1,1,1133.0,1507.5
Leaf_10c,1,2,1146.5,2000.5
Leaf_10c,1,3,1139.5,1988.5
Leaf_10c,1,4,1153.5,1996.0
Leaf_10c,1,5,1144.5,1920.875
Leaf_10c,1,6,982.833,1927.333
Leaf_10c,1,7,1316.5,1915.0
Leaf_10c,1,8,1000.75,1827.5
Leaf_10c,1,9,1290.833,1825.167
Leaf_10c,1,10,1048.5,1957.5
Leaf_10c,1,11,1248.75,1969.0
Leaf_10c,1,12,1109.167,1933.5
Leaf_10c,1,13,1171.5,1964.5
Leaf_10c,1,14,1093.667,1900.333
Leaf_10c,1,15,1183.5,1935.5
Leaf_11a,1,1,1185.5,1508.167
Leaf_11a,1,2,1133.833,2022.833
Leaf_11a,1,3,1127.833,2011.667
Leaf_11a,1,4,1136.5,2019.5
Leaf_11a,1,5,1137.0,1973.0
Leaf_11a,1,6,981.0,1954.25
Leaf_11a,1,7,1301.0,1992.833
Leaf_11a,1,8,998.5,1839.333
Leaf_11a,1,9,1300.0,1868.25
Leaf_11a,1,10,1067.0,1977.833
Leaf_11a,1,11,1218.5,2010.5
Leaf_11a,1,12,1103.5,1959.5
Leaf_11a,1,13,1166.25,1974.25
Leaf_11a,1,14,1092.167,1937.5
Leaf_11a,1,15,1214.0,1900.167
Leaf_11c,1,1,1067.5,1449.833
Leaf_11c,1,2,1096.833,2094.5
Leaf_11c,1,3,1080.833,2060.833
Leaf_11c,1,4,1108.833,2079.5
Leaf_11c,1,5,1099.75,1901.75
Leaf_11c,1,6,932.0,1889.0
Leaf_11c,1,7,1318.5,1903.5
Leaf_11c,1,8,941.333,1764.833
Leaf_11c,1,9,1292.833,1817.167
Leaf_11c,1,10,1020.25,1995.5
Leaf_11c,1,11,1212.5,1994.25
Leaf_11c,1,12,1056.75,1972.25
Leaf_11c,1,13,1150.5,1982.5
Leaf_11c,1,14,1025.167,1875.5
Leaf_11c,1,15,1157.5,1965.5
Leaf_11b,1,1,1046.5,1513.667
Leaf_11b,1,2,1065.833,2025.5
Leaf_11b,1,3,1046.833,1995.167
Leaf_11b,1,4,1090.167,1988.5
Leaf_11b,1,5,1065.167,1971.0
Leaf_11b,1,6,902.5,1966.0
Leaf_11b,1,7,1214.5,1972.5
Leaf_11b,1,8,928.0,1808.5
Leaf_11b,1,9,1202.0,1846.25
Leaf_11b,1,10,948.5,1994.0
Leaf_11b,1,11,1150.833,2002.5
Leaf_11b,1,12,1027.5,1954.0
Leaf_11b,1,13,1114.833,1944.5
Leaf_11b,1,14,1009.167,1922.167
Leaf_11b,1,15,1131.5,1908.167
Leaf_12a,1,1,1128.0,1676.0
