ID,Rep,Landmark,X,Y
Leaf_21a,2,5,13.613,24.341
Leaf_21a,2,6,11.029,24.437
Leaf_21a,2,7,16.187,24.257
Leaf_21a,2,8,11.257,23.59
Leaf_21a,2,9,15.719,22.686
Leaf_21a,2,10,12.431,24.915
Leaf_21a,2,11,14.938,24.817
Leaf_21a,2,12,13.126,24.465
Leaf_21a,2,13,14.103,24.406
Leaf_21a,2,14,12.711,23.707
Leaf_21a,2,15,14.548,23.785
Leaf_20c,2,1,13.471,17.79
Leaf_20c,2,2,13.308,25.54
Leaf_20c,2,3,12.996,24.865
Leaf_20c,2,4,13.506,24.988
Leaf_20c,2,5,13.157,22.395
Leaf_20c,2,6,10.814,22.247
Leaf_20c,2,7,15.527,22.522
Leaf_20c,2,8,11.098,21.18
Leaf_20c,2,9,15.273,21.545
Leaf_20c,2,10,12.037,23.938
Leaf_20c,2,11,14.306,23.923
Leaf_20c,2,12,12.483,23.131
Leaf_20c,2,13,13.791,23.168
Leaf_20c,2,14,12.237,22.172
Leaf_20c,2,15,14.066,22.072
Leaf_20b,2,1,13.771,18.024
Leaf_20b,2,2,13.527,24.038
Leaf_20b,2,3,13.308,23.912
Leaf_20b,2,4,13.548,23.923
Leaf_20b,2,5,13.481,23.284
Leaf_20b,2,6,11.228,23.204
Leaf_20b,2,7,15.699,23.371
Leaf_20b,2,8,11.762,21.673
Leaf_20b,2,9,15.286,21.799
Leaf_20b,2,10,12.282,23.979
Leaf_20b,2,11,14.679,23.895
Leaf_20b,2,12,13.074,23.603
Leaf_20b,2,13,14.07,23.31
Leaf_20b,2,14,12.763,23.001
Leaf_20b,2,15,14.403,22.395
Leaf_20a,2,1,13.375,15.313
Leaf_20a,2,2,13.118,23.109
Leaf_20a,2,3,12.535,22.235
Leaf_20a,2,4,13.534,22.499
Leaf_20a,2,5,13.111,21.332
Leaf_20a,2,6,10.041,21.49
Leaf_20a,2,7,16.254,21.202
Leaf_20a,2,8,10.711,20.059
Leaf_20a,2,9,15.014,18.902
Leaf_20a,2,10,11.476,22.61
Leaf_20a,2,11,14.98,22.682
Leaf_20a,2,12,12.065,21.397
Leaf_20a,2,13,14.2,21.643
Leaf_20a,2,14,11.724,20.082
Leaf_20a,2,15,14.501,20.483
Leaf_19c,2,1,13.33,17.541
Leaf_19c,2,2,13.475,23.538
Leaf_19c,2,3,13.2,22.756
Leaf_19c,2,4,13.761,22.834
Leaf_19c,2,5,13.494,21.657
Leaf_19c,2,6,11.226,21.682
Leaf_19c,2,7,15.623,21.638
Leaf_19c,2,8,11.636,20.576
Leaf_19c,2,9,15.281,20.541
Leaf_19c,2,10,12.217,22.674
Leaf_19c,2,11,14.594,22.603
Leaf_19c,2,12,12.742,21.888
Leaf_19c,2,13,14.099,22.094
Leaf_19c,2,14,12.586,21.337
Leaf_19c,2,15,14.189,21.643
Leaf_19b,2,1,13.91,16.235
Leaf_19b,2,2,13.497,22.54
Leaf_19b,2,3,13.23,21.762
Leaf_19b,2,4,13.743,22.055
Leaf_19b,2,5,13.62,20.976
Leaf_19b,2,6,11.531,20.817
Leaf_19b,2,7,15.892,21.134
Leaf_19b,2,8,11.836,19.753
Leaf_19b,2,9,15.727,20.176
Leaf_19b,2,10,12.589,21.629
Leaf_19b,2,11,14.702,21.824
Leaf_19b,2,12,12.94,20.949
Leaf_19b,2,13,14.096,21.377
Leaf_19b,2,14,12.821,20.239
Leaf_19b,2,15,14.289,21.044
Leaf_19a,2,1,13.097,20.349
Leaf_19a,2,2,12.819,24.843
Leaf_19a,2,3,12.671,24.726
Leaf_19a,2,4,12.958,24.7
Leaf_19a,2,5,12.848,23.758
Leaf_19a,2,6,11.207,23.576
Leaf_19a,2,7,14.831,23.934
Leaf_19a,2,8,11.278,23.007
Leaf_19a,2,9,14.498,22.795
Leaf_19a,2,10,11.891,24.39
Leaf_19a,2,11,13.887,24.591
Leaf_19a,2,12,12.459,24.417
Leaf_19a,2,13,13.129,24.503
Leaf_19a,2,14,12.211,23.981
Leaf_19a,2,15,13.507,24.075
Leaf_18b,2,1,14.058,19.124
Leaf_18b,2,2,14.036,22.447
Leaf_18b,2,3,13.956,22.398
Leaf_18b,2,4,14.105,22.312
Leaf_18b,2,5,14.049,21.82
Leaf_18b,2,6,12.711,21.7
Leaf_18b,2,7,15.452,21.958
Leaf_18b,2,8,12.945,21.079
Leaf_18b,2,9,15.258,21.125
Leaf_18b,2,10,13.313,22.228
Leaf_18b,2,11,14.791,22.314
Leaf_18b,2,12,13.751,22.072
Leaf_18b,2,13,14.365,22.012
Leaf_18b,2,14,13.639,21.849
Leaf_18b,2,15,14.502,21.722
Leaf_18a,2,1,11.621,21.676
Leaf_18a,2,2,11.986,25.545
Leaf_18a,2,3,11.868,25.424
Leaf_18a,2,4,12.135,25.331
Leaf_18a,2,5,11.914,24.722
Leaf_18a,2,6,10.615,24.794
Leaf_18a,2,7,13.147,24.653
Leaf_18a,2,8,10.687,23.973
Leaf_18a,2,9,12.973,23.936
Leaf_18a,2,10,11.197,25.134
Leaf_18a,2,11,12.538,25.069
Leaf_18a,2,12,11.546,24.884
Leaf_18a,2,13,12.241,24.898
Leaf_18a,2,14,11.306,24.477
Leaf_18a,2,15,12.388,24.333
Leaf_17c,2,1,13.527,17.378
Leaf_17c,2,2,12.702,24.339
Leaf_17c,2,3,12.572,23.967
Leaf_17c,2,4,12.828,24.057
Leaf_17c,2,5,12.767,22.362
Leaf_17c,2,6,10.461,22.061
Leaf_17c,2,7,15.159,22.663
Leaf_17c,2,8,10.754,21.101
Leaf_17c,2,9,15.047,21.301
Leaf_17c,2,10,11.591,23.261
Leaf_17c,2,11,13.823,23.408
Leaf_17c,2,12,12.189,22.943
Leaf_17c,2,13,13.414,22.88
Leaf_17c,2,14,11.844,22.08
Leaf_17c,2,15,13.653,22.451
Leaf_17b,2,1,13.404,19.966
Leaf_17b,2,2,13.434,25.774
Leaf_17b,2,3,13.129,24.785
Leaf_17b,2,4,13.613,25.278
Leaf_17b,2,5,13.511,24.287
Leaf_17b,2,6,11.676,24.094
Leaf_17b,2,7,15.213,24.48
Leaf_17b,2,8,11.959,23.274
Leaf_17b,2,9,15.157,23.687
Leaf_17b,2,10,12.619,24.886
Leaf_17b,2,11,14.289,24.993
Leaf_17b,2,12,13.001,24.28
Leaf_17b,2,13,13.977,24.614
Leaf_17b,2,14,12.87,23.767
Leaf_17b,2,15,14.215,23.945
Leaf_17a,2,1,13.782,18.101
Leaf_17a,2,2,13.514,23.644
Leaf_17a,2,3,13.113,23.332
Leaf_17a,2,4,13.642,23.443
Leaf_17a,2,5,13.531,22.267
Leaf_17a,2,6,11.271,22.447
Leaf_17a,2,7,15.828,22.096
Leaf_17a,2,8,11.704,21.035
Leaf_17a,2,9,15.229,20.639
Leaf_17a,2,10,12.382,23.332
Leaf_17a,2,11,14.936,23.298
Leaf_17a,2,12,12.661,22.752
Leaf_17a,2,13,13.858,23.235
Leaf_17a,2,14,12.46,22.373
Leaf_17a,2,15,14.4,22.533
Leaf_16c,2,1,13.151,17.437
Leaf_16c,2,2,13.178,22.391
